Video position (%),Absolute audience retention (%),Compared to other videos (%)
0,92.86,-32.86
1,92.86,-41.17
2,85.71,-37.38
3,78.57,-22.07
4,64.29,-6.82
5,57.14,2.73
6,57.14,7.65
7,57.14,10.43
8,64.29,12.74
9,64.29,15.31
10,64.29,18.38
11,50,22.09
12,50,26.35
13,50,31.08
14,57.14,36.18
15,57.14,41.51
16,57.14,46.82
17,42.86,51.7
18,50,55.8
19,50,58.91
20,50,60.91
21,57.14,61.79
22,57.14,61.62
23,57.14,60.54
24,50,58.76
25,50,56.5
26,57.14,54.07
27,57.14,51.75
28,50,49.71
29,42.86,48.13
30,42.86,47.15
31,42.86,46.78
32,42.86,47.01
33,42.86,47.75
34,50,48.89
35,50,50.28
36,50,51.67
37,42.86,52.84
38,42.86,53.61
39,42.86,53.76
40,42.86,52.9
41,42.86,49.87
42,42.86,42.41
43,35.71,28.19
44,35.71,8.15
45,35.71,-11.28
46,42.86,-24.59
47,42.86,-32.42
48,35.71,-37.94
49,35.71,-42.71
50,35.71,-45.92
51,28.57,-47.61
52,28.57,-49.07
53,28.57,-50.89
54,28.57,-52.95
55,28.57,-54.7
56,28.57,-53.64
57,28.57,-49.67
58,28.57,-44.24
59,28.57,-37.97
60,28.57,-31.24
61,28.57,-24.58
62,28.57,-18.4
63,28.57,-13.02
64,28.57,-8.68
65,28.57,-5.53
66,28.57,-3.46
67,28.57,-2.2
68,28.57,-1.58
69,28.57,-1.51
70,28.57,-2.02
71,28.57,-3.11
72,28.57,-4.89
73,28.57,-7.54
74,28.57,-11.24
75,28.57,-16.07
76,28.57,-21.88
77,28.57,-28.41
78,28.57,-35.3
79,28.57,-42.09
80,28.57,-48.27
81,28.57,-53.54
82,28.57,-57.87
83,28.57,-61.26
84,28.57,-63.3
85,28.57,-62.61
86,21.43,-59.37
87,21.43,-56.28
88,21.43,-54.09
89,21.43,-52.83
90,21.43,-51.7
91,21.43,-49.88
92,21.43,-47.78
93,21.43,-44.82
94,21.43,-38.44
95,21.43,-26.09
96,21.43,-9.74
97,21.43,3.31
98,28.57,9.34
99,14.29,10.77
