Video position (%),Absolute audience retention (%),Compared to other videos (%)
0,98.83,18.9
1,72.59,13.14
2,64.49,5.12
3,54.24,-1.49
4,50.54,-4.42
5,48.1,-4.35
6,45.56,-2.83
7,45.17,-0.53
8,43.71,2.28
9,39.71,5.2
10,38.93,8.01
11,37.56,11.05
12,38.34,14.61
13,37.85,18.26
14,37.76,20.96
15,37.46,21.62
16,37.76,19.59
17,37.27,15.51
18,34.83,11.33
19,35.02,8.46
20,34.63,6.41
21,34.73,4.09
22,32.39,1.86
23,32.59,1.01
24,32.59,1.46
25,32.68,1.53
26,30.83,-0.33
27,29.27,-4.39
28,29.17,-9.68
29,28.88,-14.7
30,28.29,-18.43
31,28.2,-20.62
32,26.93,-21.7
33,25.95,-22.2
34,25.46,-22.1
35,26.24,-20.84
36,25.17,-17.66
37,25.17,-12.48
38,25.27,-6.42
39,24.88,-1.26
40,24.1,2.09
41,24.98,4
42,25.07,4.86
43,25.17,4.72
44,24.98,4.18
45,24.1,4.75
46,25.37,7.42
47,24.39,11.17
48,22.93,13.6
49,24.29,13.04
50,23.41,9.81
51,22.83,5.93
52,21.46,3.55
53,22.44,3.57
54,21.85,5.53
55,23.12,8.4
56,21.95,11.22
57,22.34,13.77
58,20.98,17.13
59,22.44,22.8
60,20.98,30.97
61,22.24,40.04
62,22.63,47.79
63,23.02,53.31
64,21.76,57.45
65,23.61,61.03
66,23.02,63.45
67,22.73,63.38
68,23.9,60.35
69,23.32,55.2
70,23.22,49.45
71,21.95,44.62
72,22.34,41.49
73,22.63,40.01
74,21.95,40.27
75,22.24,43.02
76,21.46,47.79
77,21.37,51.84
78,21.46,52.94
79,21.85,52.26
80,22.54,53.47
81,22.83,58.44
82,26.15,64.53
83,27.9,67.25
84,28.68,63.75
85,28.1,54.13
86,27.02,42.22
87,25.95,34.1
88,24.49,32.42
89,26.63,34.04
90,28.1,34.79
91,27.32,33.92
92,28,33.12
93,28.29,32.97
94,30.54,31.96
95,34.24,29.03
96,36.39,25.27
97,32.39,21.25
98,24.49,16.03
99,14.93,10.48
